,District Name,CDS Number (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District)
832,SBE - Olive Grove Charter (Santa Barbara),42-76950-0000000,10.5,26.9,32.8,29.8,37.4,,,redacted,redacted,19,redacted,redacted,53.2,35.7,38.6
833,SBE - OnePurpose (San Francisco),38-76919-0000000,,,,,,,,,,,,,,,
834,SBE - Paramount Collegiate Academy (Sacramento),34-76935-0000000,3.7,27.8,33.3,35.2,31.5,,redacted,redacted,,16.7,,,41.4,26.7,37.5
835,SBE - Prepa Tec Los Angeles High (Los Angeles),19-76992-0000000,,,,,,,,,,,,,,,
836,SBE - Ridgecrest Charter (Kern),15-75630-0000000,9.2,19.4,32.2,39.2,28.6,,redacted,redacted,redacted,25.5,,12.5,32.5,22,33.3
837,SBE - Rocketship Futuro Academy (Contra Costa),07-77024-0000000,,,,,,,,,,,,,,,
838,SBE - The New School of San Francisco (San Francisco),38-76927-0000000,,,,,,,,,,,,,,,
839,SBE - The School of Arts and Enterprise (Los Angeles),19-75697-0000000,10.8,32.3,34.5,22.4,43.1,redacted,redacted,35.3,redacted,40.3,redacted,redacted,60.5,41.2,44.4
840,SBE - Thrive Public (San Diego),37-76901-0000000,12.4,24.2,26.3,37.1,36.6,redacted,redacted,13.8,redacted,23.5,redacted,redacted,61.1,31,44.9
841,Scotia Union Elementary (Humboldt),12-63024-0000000,7.8,31.7,28.2,32.4,39.4,redacted,redacted,,,17.7,,50,40.7,33.7,50
842,Scott Valley Unified (Siskiyou),47-76455-0000000,21,28.9,26.5,23.6,49.9,25,redacted,redacted,,47.7,,36.4,57.4,42.6,59.5
843,Scotts Valley Unified (Santa Cruz),44-75432-0000000,36.8,38.4,15.3,9.6,75.1,redacted,87.8,redacted,redacted,63.6,,80.3,76.2,70.5,79.6
844,Sebastopol Union Elementary (Sonoma),49-70938-0000000,16.3,29.1,25.9,28.8,45.4,redacted,redacted,redacted,,30.4,redacted,73.7,56.8,39.8,51.9
845,Seeley Union Elementary (Imperial),13-63222-0000000,9.5,27.9,24.9,37.8,37.3,,,redacted,redacted,33.7,,redacted,83.3,39.5,34.8
846,Seiad Elementary (Siskiyou),47-70458-0000000,0,50,37.5,12.5,50,redacted,,,,redacted,redacted,redacted,redacted,redacted,redacted
847,Selma Unified (Fresno),10-62430-0000000,11.9,29.6,26.4,32.1,41.5,redacted,58.1,redacted,redacted,40.2,redacted,redacted,55.8,35.7,47.6
848,Semitropic Elementary (Kern),15-63768-0000000,3.2,17.1,28.5,51.3,20.3,,,redacted,,19.7,,,redacted,21.1,19.5
849,Sequoia Union Elementary (Tulare),54-72116-0000000,22,29.8,23.4,24.9,51.7,redacted,redacted,,,38.5,redacted,redacted,57.6,45.6,57.8
850,Sequoia Union High (San Mateo),41-69062-0000000,43.1,28.2,14.3,14.3,71.3,redacted,92.7,44.7,84,52.2,32,86.2,88.6,68.6,74.1
851,Shaffer Union Elementary (Lassen),18-64188-0000000,10.2,25.4,26.3,38.1,35.6,redacted,redacted,redacted,,31.7,redacted,redacted,36.5,20.3,50.9
852,Shandon Joint Unified (San Luis Obispo),40-68833-0000000,8.8,32.7,26.4,32.1,41.5,redacted,,redacted,,37,redacted,redacted,59.4,40.7,42.5
853,Shasta County Office of Education (Shasta),45-10454-0000000,0,6.8,15.9,77.3,6.8,redacted,redacted,redacted,redacted,redacted,,redacted,8.6,0,redacted
854,Shasta Union Elementary (Shasta),45-70128-0000000,22.5,22.5,17.5,37.5,45,redacted,redacted,redacted,,redacted,redacted,,50,52.2,35.3
855,Shasta Union High (Shasta),45-70136-0000000,30.4,37.6,21.1,11,68,48.7,80.3,50,redacted,61.8,redacted,74,68.7,61.1,75.2
856,Shiloh Elementary (Stanislaus),50-71274-0000000,12.1,24.2,29.7,34.1,36.3,,,,,29.5,,redacted,58.3,28.6,42.9
857,Shoreline Unified (Marin),21-73361-0000000,18.6,32.3,31.5,17.7,50.8,redacted,redacted,,,31.9,redacted,redacted,77.2,48,53.6
858,Sierra County Office of Education (Sierra),46-10462-0000000,,,,,,,,,,,,,,,
859,Sierra Sands Unified (Kern),15-73742-0000000,20.4,29.7,23.3,26.6,50.1,44.7,75.4,35.2,64.9,40.3,65.2,45.7,54.6,44.1,56.6
860,Sierra Unified (Fresno),10-75275-0000000,18,32.6,22,27.4,50.6,29.4,redacted,redacted,redacted,43,,redacted,57.8,43.9,57.1
861,Sierra-Plumas Joint Unified (Sierra),46-70177-0000000,9.7,35.8,28.5,26.1,45.4,redacted,redacted,redacted,,44,,redacted,45.4,38.1,52.9
862,Silver Fork Elementary (El Dorado),09-61986-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,,redacted,redacted,redacted
863,Silver Valley Unified (San Bernardino),36-73890-0000000,16.5,31.5,27.9,24.1,47.9,redacted,36.4,42.4,52.4,41.5,53.1,57.8,51.9,40,55.5
864,Simi Valley Unified (Ventura),56-72603-0000000,21.5,34.3,23.3,20.9,55.9,61.1,78,51.8,66.4,40.8,41.7,66.8,62,49.6,62.3
865,Siskiyou County Office of Education (Siskiyou),47-10470-0000000,redacted,redacted,redacted,redacted,redacted,redacted,,,,redacted,,redacted,redacted,redacted,redacted
866,Siskiyou Union High (Siskiyou),47-70466-0000000,20.9,43.3,20.2,15.7,64.2,redacted,redacted,redacted,,68,redacted,66.7,67.1,57.6,70.6
867,Snelling-Merced Falls Union Elementary (Merced),24-65839-0000000,6.1,38.8,24.5,30.6,44.9,,,,,37.5,,,54.2,37.5,58.8
868,Snowline Joint Unified (San Bernardino),36-73957-0000000,12.9,30.1,26.5,30.5,43,34.8,77,23.6,64.7,36,47.1,34.8,53.2,37.2,49
869,Solana Beach Elementary (San Diego),37-68387-0000000,58.8,26.7,9.8,4.8,85.4,redacted,90.9,redacted,redacted,63.7,redacted,89.9,88.5,84.6,86.3
870,Solano County Office of Education (Solano),48-10488-0000000,0,7,18.6,74.4,7,,redacted,6.3,,5.9,,redacted,redacted,2.8,redacted
871,Soledad Unified (Monterey),27-75440-0000000,7.8,23.7,26.4,42,31.6,redacted,50,66.7,64.3,30.3,redacted,redacted,52.7,27,36.4
872,Solvang Elementary (Santa Barbara),42-69336-0000000,26.2,32.8,27.4,13.6,59,redacted,redacted,redacted,redacted,46.5,,redacted,76.8,54.3,63.1
873,Somis Union (Ventura),56-72611-0000000,14.4,32.7,24.2,28.8,47.1,,,,redacted,41.3,,redacted,66.7,45.4,49.3
874,Sonoma County Office of Education (Sonoma),49-10496-0000000,1.2,8.1,17.2,73.6,9.2,redacted,redacted,redacted,redacted,2.3,redacted,,17.7,6.9,20
875,Sonoma Valley Unified (Sonoma),49-70953-0000000,14.7,27.7,26.6,31.1,42.3,redacted,62.2,redacted,72.7,29.1,redacted,61.5,63.8,34.6,49.9
876,Sonora Elementary (Tuolumne),55-72371-0000000,19.1,34.4,23.6,23,53.4,redacted,57.1,,53.9,35.9,redacted,65,55.8,44,61.6
877,Sonora Union High (Tuolumne),55-72389-0000000,36.5,32,15.6,16,68.4,redacted,redacted,redacted,,62.5,redacted,redacted,69.9,61.6,77.4
878,Soquel Union Elementary (Santa Cruz),44-69849-0000000,26,33.6,21.5,18.9,59.6,redacted,77.3,redacted,redacted,42.9,redacted,64,67.9,57.3,62
879,Soulsbyville Elementary (Tuolumne),55-72397-0000000,10.4,31,26.7,31.9,41.4,redacted,,redacted,,41.2,,42.9,41.3,32.1,51.3
880,South Bay Union (San Diego),37-68395-0000000,11.4,24.2,25.3,39,35.7,redacted,45,29,55.7,32.8,47.6,47.4,56.8,31.4,39.9
881,South Bay Union Elementary (Humboldt),12-63032-0000000,15.8,30.5,19.9,33.9,46.2,40.9,38.5,redacted,redacted,42.9,redacted,44,49.4,40.7,51
882,South Fork Union (Kern),15-63784-0000000,11.2,25.9,25.2,37.8,37.1,redacted,,,,40,,redacted,37.9,34.7,39.4
883,South Monterey County Joint Union High (Monterey),27-66068-0000000,16.4,29.4,27.2,27,45.8,redacted,redacted,redacted,redacted,44.2,,redacted,88,37.1,55
884,South Pasadena Unified (Los Angeles),19-65029-0000000,54.8,28.6,10.1,6.5,83.3,redacted,88.5,76.3,82.2,70.4,redacted,90.9,86.3,78,89.3
885,South San Francisco Unified (San Mateo),41-69070-0000000,17.5,31.6,23.4,27.5,49.1,redacted,71.6,24.6,62.6,36.1,31.4,62.9,50.8,42.7,55.7
886,South Whittier Elementary (Los Angeles),19-65037-0000000,8.4,24.1,26.5,41,32.5,redacted,redacted,redacted,60,31.6,redacted,redacted,40.6,26.4,38.8
887,Southern Humboldt Joint Unified (Humboldt),12-63040-0000000,11.9,26.4,28.9,32.8,38.3,redacted,redacted,redacted,,29.6,redacted,37.5,40.3,28.9,47.1
888,Southern Kern Unified (Kern),15-63776-0000000,6.9,21.6,27.5,44.1,28.5,26.7,53.9,17.8,38.5,26.6,redacted,39.4,33.8,25.2,31.8
889,Southern Trinity Joint Unified (Trinity),53-73833-0000000,6.4,34,36.2,23.4,40.4,redacted,,,,redacted,,redacted,48.7,39.1,41.7
890,Southside Elementary (San Benito),35-67553-0000000,22.9,41.2,23.5,12.4,64.1,,,redacted,,54.6,,redacted,64.7,54,71.1
891,Spencer Valley Elementary (San Diego),37-68403-0000000,58.3,25,16.7,0,83.3,,,,,redacted,,redacted,redacted,redacted,redacted
892,Spreckels Union Elementary (Monterey),27-66225-0000000,18.9,35.4,27,18.7,54.2,redacted,82.6,redacted,84.6,41.9,,66.1,55.9,48.5,59.8
893,Springville Union Elementary (Tulare),54-72132-0000000,12.2,31.3,33.6,22.9,43.5,redacted,redacted,,redacted,34,,,46.2,35,54.3
894,Standard Elementary (Kern),15-63792-0000000,6.9,19.7,24.7,48.7,26.6,29.6,redacted,34.8,redacted,22.2,,42.5,28,22.9,30.3
895,Stanislaus County Office of Education (Stanislaus),50-10504-0000000,1,6,11.1,81.9,7,redacted,redacted,0,redacted,3.6,redacted,redacted,14.8,7,7.1
896,Stanislaus Union Elementary (Stanislaus),50-71282-0000000,17.6,28.6,23.4,30.5,46.1,33.3,70.5,32.9,66.7,36.7,35,37.9,58.5,40,52.4
897,Stockton Unified (San Joaquin),39-68676-0000000,6.3,18.4,24.8,50.5,24.7,22.1,35.5,15.5,53.5,22,21.8,28.7,32.7,20.7,28.8
898,Stone Corral Elementary (Tulare),54-72140-0000000,2.4,7.3,23.2,67.1,9.8,,,,,9.8,,,,9.8,9.8
899,Stony Creek Joint Unified (Glenn),11-62653-0000000,4.4,17.4,21.7,56.5,21.7,7.7,,,,redacted,,redacted,41.2,12.5,31.8
900,Strathmore Union Elementary (Tulare),54-72157-0000000,7.2,22,28.4,42.4,29.2,25,,,,28.1,redacted,redacted,45.5,23.9,34.3
901,Sulphur Springs Union (Los Angeles),19-65045-0000000,29.5,30.7,21.5,18.3,60.2,redacted,83.2,52.7,82.6,50.4,redacted,72.4,71.2,55.7,65
902,Summerville Elementary (Tuolumne),55-72405-0000000,10.6,32.2,24.3,32.9,42.8,48,,redacted,,39.6,,50,43,35.9,51.8
903,Summerville Union High (Tuolumne),55-72413-0000000,32.2,30.7,19.5,17.6,62.9,35.3,redacted,redacted,,68.8,redacted,redacted,63.9,50.5,74.1
904,Sundale Union Elementary (Tulare),54-72173-0000000,22.1,33.1,23.1,21.7,55.2,redacted,redacted,redacted,redacted,45.4,,redacted,65.4,51.7,59.1
905,Sunnyside Union Elementary (Tulare),54-72181-0000000,3.3,18.8,30.6,47.4,22,,,,,20.9,,,32,14.2,29.6
906,Sunnyvale (Santa Clara),43-69690-0000000,29.4,27.8,20.4,22.4,57.2,22.9,82.8,30.8,59.6,28.9,32.4,77,71.6,54.1,60.5
907,Sunol Glen Unified (Alameda),01-75119-0000000,35.3,39.5,17.4,7.8,74.9,,89.3,redacted,,61.5,redacted,88,71.2,74.7,75
908,Surprise Valley Joint Unified (Modoc),25-65896-0000000,14.5,25.8,38.7,21,40.3,redacted,redacted,,,38.5,,,43.9,38.5,41.7
909,Susanville Elementary (Lassen),18-64196-0000000,9.6,30.7,23.2,36.4,40.3,24.1,redacted,redacted,redacted,35.6,33.3,31.8,46.2,33.2,47.3
910,Sutter County Office of Education (Sutter),51-10512-0000000,1.5,3,6,89.6,4.5,redacted,redacted,redacted,,3.3,redacted,redacted,6.9,1.9,13.3
911,Sutter Union High (Sutter),51-71449-0000000,24,29.5,26.2,20.2,53.6,redacted,redacted,redacted,redacted,50,,71.4,50.9,42.7,63.8
912,Sweetwater Union High (San Diego),37-68411-0000000,19.4,34.7,23.7,22.2,54.1,42.9,80.6,53.5,81.6,47.6,54.7,73.8,70.7,48.6,59.8
913,Sylvan Union Elementary (Stanislaus),50-71290-0000000,16.3,32,24.4,27.3,48.2,48,60,31.4,79.5,40,47.6,51.1,54.4,41.9,54.4
914,Taft City (Kern),15-63800-0000000,10.6,26.2,24.4,38.8,36.8,redacted,redacted,redacted,redacted,32.7,redacted,54.6,42.2,32.6,41
915,Taft Union High (Kern),15-63818-0000000,8.8,36.6,40.3,14.3,45.4,redacted,redacted,redacted,,39,redacted,redacted,52.9,38.5,53.7
916,Tahoe-Truckee Unified (Placer),31-66944-0000000,24,35.6,21.9,18.6,59.5,redacted,redacted,redacted,redacted,35.3,,68.8,74.5,53.8,65.2
917,Tamalpais Union High (Marin),21-65482-0000000,44.4,30.9,13.1,11.7,75.2,redacted,87.3,29.2,redacted,55.2,redacted,redacted,77.9,69.2,81.1
918,Tehachapi Unified (Kern),15-63826-0000000,14.6,30.6,26.1,28.6,45.3,64.7,80,29,50,35.5,redacted,42.4,49.9,38.6,52.2
919,Tehama County Department of Education (Tehama),52-10520-0000000,5.7,28.5,22,43.9,34.2,redacted,,redacted,,12,,redacted,42.4,29.5,38.7
920,Temecula Valley Unified (Riverside),33-75192-0000000,28.5,36.4,20.5,14.6,64.9,39.8,79.7,47.5,81,55.9,52.8,69.1,69.7,59.4,70.6
921,Temple City Unified (Los Angeles),19-65052-0000000,35.7,33.4,17.3,13.5,69.1,redacted,76.8,42.1,66.7,46.7,redacted,71.2,61.3,65.3,73.2
922,Templeton Unified (San Luis Obispo),40-68841-0000000,29.1,36.9,19,15,66,redacted,86.7,redacted,redacted,52.4,redacted,73.3,69.7,60.8,71.6
923,Terra Bella Union Elementary (Tulare),54-72199-0000000,2.2,15,25.8,57.1,17.2,redacted,,redacted,redacted,17.1,,,17.7,12.5,22.1
924,Thermalito Union Elementary (Butte),04-61549-0000000,6,20.7,28.7,44.6,26.7,14.7,29.3,3.9,redacted,27.7,redacted,26.2,26.5,22.5,31.1
925,Three Rivers Union Elementary (Tulare),54-72207-0000000,19,31.6,28.4,21.1,50.5,,redacted,,redacted,50,,redacted,51.5,42.9,58.7
926,Tipton Elementary (Tulare),54-72215-0000000,9,25.2,28.3,37.5,34.2,redacted,redacted,redacted,,34.5,,redacted,54.6,29.3,39.2
927,Torrance Unified (Los Angeles),19-65060-0000000,29.6,36.2,20.2,14.1,65.8,68,77.5,46.3,74.8,52.1,65.5,72.9,67,60.3,71.4
928,Tracy Joint Unified (San Joaquin),39-75499-0000000,13.2,27.7,25.3,33.9,40.8,55,56.6,30,64.4,30.9,38.3,52.5,53.2,35.1,46.7
929,Traver Joint Elementary (Tulare),54-72223-0000000,6.5,20.2,30.7,42.7,26.6,,redacted,,,26.1,,,redacted,19.6,32.4
930,Travis Unified (Solano),48-70565-0000000,20.6,35.9,26.4,17.2,56.5,46.7,73.9,42,75.6,49.8,48.5,56.5,58,48.2,65.1
931,Tres Pinos Union Elementary (San Benito),35-67561-0000000,8.5,35.1,30.9,25.5,43.6,redacted,,,,26.1,,redacted,47.8,40.4,47.6
932,Trinidad Union Elementary (Humboldt),12-63057-0000000,19.4,27.1,31.8,21.7,46.5,redacted,,,,redacted,,38.5,52,38.5,58.8
933,Trinity Alps Unified (Trinity),53-76513-0000000,19.7,29.3,21.1,29.9,49,17.4,redacted,redacted,redacted,36.8,redacted,41.2,53.6,41.7,58.4
934,Trinity Center Elementary (Trinity),53-71761-0000000,redacted,redacted,redacted,redacted,redacted,,,,,,,,redacted,redacted,redacted
935,Trinity County Office of Education (Trinity),53-10538-0000000,,,,,,,,,,,,,,,
936,Trona Joint Unified (San Bernardino),36-67892-0000000,9.1,28,27.3,35.7,37.1,redacted,,redacted,,41.1,,redacted,37.5,33.8,41.3
937,Tulare City (Tulare),54-72231-0000000,8.5,23.6,26.9,41,32.1,22.2,44.8,23.2,58.3,29.4,33.3,57.7,43.8,26.6,37.8
938,Tulare County Office of Education (Tulare),54-10546-0000000,12.5,13.7,18.9,54.9,26.2,redacted,redacted,redacted,,15.9,,redacted,50.9,19.2,37
939,Tulare Joint Union High (Tulare),54-72249-0000000,17.1,34.7,24.3,23.9,51.8,redacted,81.8,22.5,redacted,48.5,redacted,redacted,65.8,46.5,57.4
940,Tulelake Basin Joint Unified (Modoc),25-73593-0000000,9.2,33.2,29.5,28.1,42.4,redacted,,redacted,,39.4,,redacted,52.3,42.9,42
941,Tuolumne County Superintendent of Schools (Tuolumne),55-10553-0000000,0,5.9,11.8,82.4,5.9,,,,,redacted,,redacted,7.7,6.7,redacted
942,Turlock Unified (Stanislaus),50-75739-0000000,15.3,29.1,24.3,31.3,44.4,31.4,66.5,28.9,77.8,36.6,60.9,55.3,54.9,39.3,49.6
943,Tustin Unified (Orange),30-73643-0000000,31.8,31,19.1,18.2,62.7,52.2,87.8,47,76.2,43.8,45.2,77.6,75.5,57.7,68
944,Twain Harte (Tuolumne),55-72421-0000000,19.8,27.3,30.8,22.1,47.1,redacted,redacted,,,44.4,redacted,redacted,47.1,39.6,55.6
945,Twin Hills Union Elementary (Sonoma),49-70961-0000000,25.4,38.7,21.6,14.4,64,redacted,redacted,redacted,,57,redacted,68.6,65.5,57.6,70.1
946,Twin Ridges Elementary (Nevada),29-66415-0000000,17,22.6,35.9,24.5,39.6,,,,,redacted,,45.5,42.9,33.3,46.2
947,Twin Rivers Unified (Sacramento),34-76505-0000000,8.7,22.2,26.2,42.9,30.9,23.3,39.8,21.1,57.5,28.5,27.3,33.4,39,25.8,36.3
948,Two Rock Union (Sonoma),49-70979-0000000,30.1,22.9,21.7,25.3,53,,,redacted,redacted,36.7,redacted,redacted,55,45.2,61
949,Ukiah Unified (Mendocino),23-65615-0000000,9.8,23.8,26.5,40,33.6,23.4,61.5,22.7,57.1,25.7,redacted,36.6,45.8,27.2,40.3
950,Union Elementary (Santa Clara),43-69708-0000000,46.8,31.1,13.3,8.8,77.9,redacted,91.2,59.6,90.9,52.2,50,82.8,79.8,74.5,81.4
951,Union Hill Elementary (Nevada),29-66407-0000000,12.2,25.3,25,37.5,37.5,redacted,redacted,,redacted,25,redacted,31.3,39.5,37.3,37.7
952,Union Joint Elementary (Marin),21-65516-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,,redacted,redacted,redacted
953,Upland Unified (San Bernardino),36-75069-0000000,20.6,30,23.9,25.5,50.6,46.2,73.1,34.4,69.2,43.4,40,65.9,64.5,46,55.5
954,Upper Lake Unified (Lake),17-76976-0000000,7.6,15.4,29.7,47.3,23,4.8,redacted,redacted,redacted,20,,redacted,27.1,19.4,26.3
955,Vacaville Unified (Solano),48-70573-0000000,17,32.4,25.9,24.8,49.3,45,62,33.3,65.9,39.5,46.3,51.3,58.4,43.8,55
956,Val Verde Unified (Riverside),33-75242-0000000,13.2,26.7,26.8,33.3,39.9,20,67.1,32.7,70.5,39.2,44.2,50.7,51.2,34.5,45.4
957,Valle Lindo Elementary (Los Angeles),19-65078-0000000,22,33.2,21.7,23.2,55.2,,78.6,,redacted,54.3,,redacted,redacted,51.6,59.5
958,Vallecito Union (Calaveras),05-61580-0000000,23.4,33.3,22.3,21,56.6,redacted,redacted,redacted,,39.3,,56.3,60.2,50.3,62.9
959,Vallecitos Elementary (San Diego),37-68437-0000000,16.9,42.7,26.6,13.7,59.7,,,,,59.2,,redacted,57.9,56.6,62
960,Vallejo City Unified (Solano),48-70581-0000000,8.5,19.9,24.2,47.4,28.4,41.7,41.1,18,52.5,24,28.7,30.2,41.3,22.5,34.6
961,Valley Center-Pauma Unified (San Diego),37-75614-0000000,12.5,25.7,25.2,36.5,38.2,22.2,50,18.8,47.1,29.5,redacted,48.2,57.1,33.2,43.4
962,Valley Home Joint Elementary (Stanislaus),50-71324-0000000,7.1,27.7,27.7,37.5,34.8,,redacted,redacted,,18,,redacted,51.7,29.5,41.2
963,Ventura County Office of Education (Ventura),56-10561-0000000,0,3.6,10.7,85.7,3.6,,redacted,redacted,,4.2,,redacted,2.7,1.5,11.8
964,Ventura Unified (Ventura),56-72652-0000000,23.2,31.5,21.9,23.4,54.7,57.7,80,47.1,76.5,41.6,66.7,65.9,69.4,49.1,60.7
965,Victor Elementary (San Bernardino),36-67918-0000000,10.2,21.8,23.1,44.9,32,29.4,58.4,18,65.7,31.9,25,42.1,44.5,27.2,37.2
966,Victor Valley Union High (San Bernardino),36-67934-0000000,10.3,30.2,28.4,31.1,40.5,40,74.1,28.1,75,40.8,42.9,33.7,52,34.3,47
967,Vineland Elementary (Kern),15-63834-0000000,2,11.9,23.4,62.7,13.9,,,,,14,,redacted,redacted,7.6,20.4
968,Visalia Unified (Tulare),54-72256-0000000,17.2,30,23.2,29.7,47.2,44.1,57.2,40.1,77.4,41.3,54.6,52.4,63.7,41.4,53.1
969,Vista del Mar Union (Santa Barbara),42-69344-0000000,20.9,35.8,23.9,19.4,56.7,,,,,46.4,,redacted,,54.8,60
970,Vista Unified (San Diego),37-68452-0000000,17,28.9,24.8,29.4,45.8,25.7,77.2,43.8,68.1,36,50,61.1,66.1,41.2,50.7
971,Walnut Creek Elementary (Contra Costa),07-61812-0000000,36.6,36.5,16.2,10.8,73,redacted,78.8,59.3,66,59.3,redacted,79.8,75.1,67.4,79.1
972,Walnut Valley Unified (Los Angeles),19-73460-0000000,43.1,32.5,14.4,10,75.6,redacted,84.1,50,83.3,56.5,77.8,80,71.8,72.4,79.1
973,Warner Unified (San Diego),37-75416-0000000,6.8,10.8,20.3,62.2,17.6,15.4,redacted,,,12.5,,redacted,20,10.9,28.6
974,Wasco Union Elementary (Kern),15-63842-0000000,6.2,20.7,27.8,45.4,26.8,redacted,15.4,22,redacted,27,redacted,redacted,27.9,21.4,32.5
975,Wasco Union High (Kern),15-63859-0000000,18.2,35.1,27.4,19.4,53.2,,,redacted,,54.1,,redacted,55.2,49,57.4
976,Washington Colony Elementary (Fresno),10-62513-0000000,7.9,19.6,23.9,48.6,27.5,redacted,redacted,redacted,,25.4,,redacted,45.8,21.4,34.1
977,Washington Unified (Fresno),10-76778-0000000,10.8,26.8,28.5,33.9,37.6,41.7,44.6,34.1,,36.3,,redacted,47.7,34.5,40.7
978,Washington Unified (Yolo),57-72694-0000000,15.2,28,23.8,32.9,43.2,20.7,57,24.4,64.8,31.1,55.4,53.3,57.6,36.3,50.5
979,Washington Union Elementary (Monterey),27-66233-0000000,39.5,38,16.2,6.3,77.5,redacted,88,redacted,redacted,63.7,redacted,73.7,80.6,73.5,81.6
980,Waterford Unified (Stanislaus),50-75572-0000000,12.3,27.4,27.9,32.5,39.7,redacted,redacted,41.7,redacted,33.3,redacted,redacted,52.6,33.5,45.7
981,Waugh Elementary (Sonoma),49-70995-0000000,34.6,32.7,19.6,13.2,67.3,redacted,81.3,redacted,redacted,54.8,,77.8,69.1,61.9,73.1
982,Waukena Joint Union Elementary (Tulare),54-72264-0000000,14.9,27.9,33.1,24,42.9,,,redacted,redacted,38.9,,,65.2,38.4,46.9
983,Weaver Union (Merced),24-65862-0000000,9.7,22.6,28.8,38.9,32.2,redacted,35.9,24.7,redacted,30.5,redacted,34.4,44.6,28.2,35.8
984,Weed Union Elementary (Siskiyou),47-70482-0000000,7.1,19.8,37.9,35.2,26.9,redacted,redacted,redacted,,28.9,,31.3,28.6,20.6,35
985,West Contra Costa Unified (Contra Costa),07-61796-0000000,12,22.2,23.2,42.7,34.1,39.4,55.3,21.1,59.8,25.4,32.4,52.3,60.2,29.2,39.3
986,West Covina Unified (Los Angeles),19-65094-0000000,19.4,32.3,25,23.3,51.7,redacted,71.7,35,76.7,47.8,56.3,63.4,53.2,46.6,57.2
987,West Park Elementary (Fresno),10-62539-0000000,4.2,21,29.3,45.6,25.1,redacted,39.1,redacted,,25,,redacted,25,20.1,30.5
988,West Side Union Elementary (Sonoma),49-71001-0000000,13.8,31,23,32.2,44.8,,,,,34.5,,redacted,50,40,48.9
989,West Sonoma County Union High (Sonoma),49-70607-0000000,38.4,38.9,13.3,9.5,77.3,redacted,redacted,redacted,redacted,67,redacted,redacted,81.3,73.4,81.3
990,Western Placer Unified (Placer),31-66951-0000000,22.6,35.6,22.9,18.9,58.2,71.2,74.1,49.4,70.6,44.2,58.6,60.9,64,52.2,64.3
991,Westminster (Orange),30-66746-0000000,26.5,29.5,20.6,23.4,55.9,41.7,73.8,42.9,76.7,36.5,44.4,63.8,64.7,51,61
992,Westmorland Union Elementary (Imperial),13-63230-0000000,3.7,21,28.4,46.9,24.7,,,redacted,,25.8,,,12.5,19,29.9
993,Westside Elementary (Fresno),10-62547-0000000,2.2,18.3,24.8,54.7,20.4,,,,,20,,,redacted,15.4,27.1
994,Westside Union Elementary (Los Angeles),19-65102-0000000,16.5,30.9,25.9,26.7,47.4,22.2,71.9,30.9,61.4,43.7,redacted,46.3,55.8,42.2,52.4
995,Westwood Unified (Lassen),18-64204-0000000,1.2,37,32.1,29.6,38.3,redacted,redacted,redacted,,38.5,,redacted,36.2,39.1,37.1
996,Wheatland (Yuba),58-72751-0000000,13.6,33,26.7,26.7,46.6,28.6,41.7,41.9,58.3,43.9,redacted,47.8,47.9,39,54.8
997,Wheatland Union High (Yuba),58-72769-0000000,17.9,37.9,31.7,12.4,55.9,redacted,redacted,redacted,,50,,redacted,56.3,59.5,51.5
998,Whitmore Union Elementary (Shasta),45-70169-0000000,0,20,20,60,20,,,,,redacted,,redacted,redacted,redacted,redacted
999,Whittier City Elementary (Los Angeles),19-65110-0000000,15,28.2,26.6,30.1,43.2,redacted,66.7,35.5,28.6,43,redacted,73.7,46,37.9,48.7
1000,Whittier Union High (Los Angeles),19-65128-0000000,24,36.8,22.3,16.9,60.8,redacted,78.4,66.7,72.7,59.1,redacted,redacted,75.5,53.8,68.1
1001,William S. Hart Union High (Los Angeles),19-65136-0000000,33.8,39.3,17,9.9,73.1,redacted,91.6,62.6,83,60,68.8,83.1,80.7,66.9,79.6
1002,Williams Unified (Colusa),06-61622-0000000,6.1,20.5,27.9,45.5,26.6,redacted,redacted,,,26,,redacted,30.3,20.1,34.3
1003,Willits Unified (Mendocino),23-65623-0000000,5.4,19.6,26.3,48.7,25,19.6,redacted,redacted,redacted,19.5,,30.8,29.5,19.1,31.9
1004,Willow Creek Elementary (Siskiyou),47-70490-0000000,4.4,13,30.4,52.2,17.4,redacted,,,,redacted,,redacted,16.7,redacted,26.7
