,District Name,CDS Number (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District)
299,Garden Grove Unified (Orange),30-66522-0000000,21.1,75.6,26.8,63.7,26.9,27.2,62.9,50.4,47,47,47,23.6,23.4,25.5,27.5
300,Garfield Elementary (Humboldt),12-62836-0000000,redacted,,redacted,,redacted,,redacted,50,61.1,45.5,52.5,27.5,25,20,27.5
301,Garvey Elementary (Los Angeles),19-64550-0000000,redacted,69.1,38.5,72,27.1,,66.7,36.4,53,51.9,52.5,30.8,21.7,22.1,25.5
302,Gateway Unified (Shasta),45-75267-0000000,14.5,44.7,13.6,redacted,20.9,redacted,32.7,24.7,24.4,24.3,24.4,8.5,15.9,32.8,42.8
303,Gazelle Union Elementary (Siskiyou),47-70318-0000000,redacted,,redacted,,redacted,,redacted,redacted,0,redacted,10,0,10,30,60
304,General Shafter Elementary (Kern),15-63487-0000000,,redacted,,,40,,,36.4,44.2,38,40.9,20.4,20.4,30.1,29
305,Gerber Union Elementary (Tehama),52-71548-0000000,redacted,redacted,,,11.5,,redacted,21.1,14.3,12,13.3,2.6,10.7,32.1,54.6
306,Geyserville Unified (Sonoma),49-70706-0000000,,redacted,redacted,,18.3,,redacted,51.1,38.7,21.4,29.6,7.6,22,32.6,37.9
307,Gilroy Unified (Santa Clara),43-69484-0000000,57.6,76.1,58.9,65.6,31.9,redacted,59.8,59.1,38.5,42.2,40.3,18.8,21.5,26.7,33
308,Glendale Unified (Los Angeles),19-64568-0000000,50,80.3,32.4,60.3,31.3,27.8,67.2,50.4,49.9,51.1,50.5,26.3,24.2,25.9,23.7
309,Glendora Unified (Los Angeles),19-64576-0000000,redacted,87.5,37,72.7,45.2,redacted,71.9,59.8,56.9,55.3,56.1,29.4,26.7,26.5,17.4
