,District Name,CDS Number (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District)
494,Madera Unified (Madera),20-65243-0000000,11.4,45.9,17.7,50,19.6,redacted,28.6,34.8,21.1,20.7,20.9,5.9,15,28.6,50.5
495,Magnolia Elementary (Orange),30-66589-0000000,20.8,79.3,28.6,79,35.5,45.2,37.3,51.8,44,41.8,42.9,20.4,22.5,28.4,28.7
496,Magnolia Union Elementary (Imperial),13-63172-0000000,,redacted,,,46,,redacted,64.6,51.9,63.9,56.8,25,31.8,31.8,11.4
497,Mammoth Unified (Mono),26-73692-0000000,,redacted,redacted,redacted,12.8,redacted,redacted,60.3,29.9,32.8,31.4,15.5,15.8,29.1,39.5
498,Manchester Union Elementary (Mendocino),23-65573-0000000,,,,,0,,,redacted,9.1,6.3,7.4,3.7,3.7,55.6,37
499,Manhattan Beach Unified (Los Angeles),19-75333-0000000,redacted,90.6,41.2,75,63.5,redacted,82.5,73.3,76,73.5,74.8,43.4,31.4,17.7,7.5
500,Manteca Unified (San Joaquin),39-68593-0000000,17.3,35.4,15.8,45.5,19.5,34.2,31.5,31.1,25.1,24.2,24.7,7.5,17.2,31.9,43.4
501,Manzanita Elementary (Butte),04-61499-0000000,redacted,50,,,33.3,,redacted,68.2,52.4,54.4,53.5,27.6,25.9,31.6,14.9
502,Maple Creek Elementary (Humboldt),12-62935-0000000,redacted,,redacted,,redacted,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
503,Maple Elementary (Kern),15-63610-0000000,,,,,26.3,,,35.3,35.3,24.7,29.7,11,18.7,35.7,34.6
504,Marcum-Illinois Union Elementary (Sutter),51-71407-0000000,redacted,,redacted,,50,,redacted,53.9,55.6,52.4,53.7,25.9,27.8,28.7,17.6
505,Maricopa Unified (Kern),15-63628-0000000,redacted,,,,5.2,,redacted,6.1,7.5,4.9,6.2,1.9,4.3,23.5,70.4
506,Marin County Office of Education (Marin),21-10215-0000000,,redacted,redacted,,redacted,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
507,Mariposa County Office of Education (Mariposa),22-10223-0000000,,,,,,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
508,Mariposa County Unified (Mariposa),22-65532-0000000,21.4,redacted,redacted,redacted,21.7,,30.4,37.2,30.4,36.1,33.2,13.3,20,29.8,37
509,Mark Twain Union Elementary (Calaveras),05-61572-0000000,redacted,redacted,redacted,redacted,26.9,,25,34.3,32.6,32.4,32.5,7.8,24.7,34.2,33.4
510,Mark West Union Elementary (Sonoma),49-70805-0000000,23.1,50,redacted,redacted,38,redacted,57.4,54.4,50.6,47.9,49.2,20.8,28.4,31.4,19.3
511,Martinez Unified (Contra Costa),07-61739-0000000,redacted,61.5,21.8,56.6,32.3,redacted,45.8,46.4,42.3,41.9,42.1,17.5,24.6,29.8,28.1
512,Marysville Joint Unified (Yuba),58-72736-0000000,19.6,25.2,17.1,39.1,21.1,30,34.6,30.3,25.9,24.7,25.3,8.1,17.2,30.5,44.2
513,Mattole Unified (Humboldt),12-75382-0000000,redacted,,redacted,,19.4,redacted,33.3,35.5,31.9,34.3,33.1,14.4,18.7,27,39.9
514,Maxwell Unified (Colusa),06-61606-0000000,redacted,redacted,,,37.2,redacted,redacted,53.2,37.8,46.5,41.9,14.1,27.7,25.5,32.6
515,McCabe Union Elementary (Imperial),13-63180-0000000,,96.4,redacted,redacted,56.8,redacted,redacted,76.2,63.6,57.2,60.4,27,33.5,28,11.6
516,McCloud Union Elementary (Siskiyou),47-70409-0000000,redacted,,,,redacted,,redacted,34.6,35,40,37.5,15,22.5,37.5,25
517,McFarland Unified (Kern),15-73908-0000000,redacted,18.2,redacted,redacted,19.2,,redacted,15.4,18.5,19.9,19.2,4.7,14.4,29.6,51.2
518,McKinleyville Union Elementary (Humboldt),12-62950-0000000,22.4,redacted,redacted,,27.5,redacted,29.3,38.1,35.2,32.8,34,14.4,19.6,30.9,35.1
519,McKittrick Elementary (Kern),15-63651-0000000,redacted,,,,redacted,,redacted,50,45.5,54.6,49.1,23.6,25.5,32.7,18.2
520,McSwain Union Elementary (Merced),24-65763-0000000,,48.4,redacted,redacted,29.9,redacted,56.3,48.8,39.8,42,40.8,14.9,25.9,32.7,26.5
521,Meadows Union Elementary (Imperial),13-63198-0000000,,,redacted,,23.7,redacted,redacted,48.7,26.5,27.3,26.9,10.2,16.7,28.8,44.3
522,Mendocino County Office of Education (Mendocino),23-10231-0000000,redacted,,,,0,redacted,redacted,redacted,4.6,0,3,0,3,6.1,90.9
523,Mendocino Unified (Mendocino),23-65581-0000000,redacted,redacted,redacted,redacted,26.7,redacted,redacted,50.5,47.5,50,48.7,25.3,23.4,29.4,21.9
524,Mendota Unified (Fresno),10-75127-0000000,,,redacted,,20.4,,redacted,46.4,21.2,20.3,20.7,6.1,14.6,29.8,49.5
525,Menifee Union Elementary (Riverside),33-67116-0000000,34.8,62.9,25.4,72.8,32.6,31.6,46.3,47.2,40.8,39.7,40.2,14.3,26,31.1,28.7
526,Merced City Elementary (Merced),24-65771-0000000,22.2,35,11,50.9,18.9,13.3,34.5,37.2,23.6,22.8,23.2,8.5,14.6,28.8,48.1
527,Merced County Office of Education (Merced),24-10249-0000000,redacted,redacted,0,,3,,redacted,4.6,2.8,3.2,3,0.8,2.1,9.3,87.8
528,Merced River Union Elementary (Merced),24-73726-0000000,,,redacted,,20,,redacted,31.3,20,30.4,25.5,6.6,18.9,34.9,39.6
529,Merced Union High (Merced),24-65789-0000000,redacted,34.7,4.9,66.7,15.2,redacted,39.1,36.1,22.7,19.3,21,5.5,15.5,24,55
530,Meridian Elementary (Sutter),51-71415-0000000,redacted,,,,0,,redacted,20,11.4,12,11.7,6.7,5,31.7,56.7
531,Mesa Union Elementary (Ventura),56-72470-0000000,redacted,80,redacted,72.7,39.8,redacted,68,68,53.4,47.8,50.6,24.3,26.3,28.2,21.2
532,Middletown Unified (Lake),17-64055-0000000,redacted,redacted,redacted,redacted,22.2,redacted,41.4,33.5,30.9,31.2,31.1,8.4,22.6,34.8,34.1
533,Midway Elementary (Kern),15-63669-0000000,redacted,,,,redacted,,redacted,31.9,28.6,34.5,31.6,12.3,19.3,43.9,24.6
534,Mill Valley Elementary (Marin),21-65391-0000000,redacted,72,40,redacted,63.9,redacted,80.8,77.4,77.6,74.2,76,45.7,30.2,17.1,7
535,Millbrae Elementary (San Mateo),41-68973-0000000,redacted,79.5,46.7,56.7,29.5,38.7,63.4,54.2,62.8,59.9,61.4,34.7,26.7,21.8,16.8
536,Millville Elementary (Shasta),45-70052-0000000,redacted,,,redacted,81.8,,57.1,64.5,69.9,58.8,64.3,36.9,27.4,28,7.7
537,Milpitas Unified (Santa Clara),43-73387-0000000,31.8,82.2,30.5,56,28.5,47.1,49,57.8,62.3,62,62.1,39.7,22.4,21,16.9
538,Mission Union Elementary (Monterey),27-66084-0000000,,redacted,,redacted,29.2,,,40.9,19.1,45.8,33.3,8.9,24.4,37.8,28.9
539,Modesto City Elementary (Stanislaus),50-71167-0000000,21.4,26.3,9,69,15.1,20.4,25.6,33.9,19.9,18.1,19,6.1,12.9,27.3,53.7
540,Modesto City High (Stanislaus),50-71175-0000000,6.7,40.1,10.8,57.1,16.4,21.2,28.7,34.4,23.4,23.2,23.3,6.9,16.4,25.8,50.9
541,Modesto City Schools (Stanislaus),50-40717-0000000,,,,,,,,,,,,,,,
542,Modoc County Office of Education (Modoc),25-10256-0000000,,,redacted,,redacted,,,redacted,redacted,redacted,7.7,0,7.7,7.7,84.6
543,Modoc Joint Unified (Modoc),25-73585-0000000,24.3,redacted,redacted,redacted,16.7,redacted,45.5,26.5,19.2,30.8,24.7,7.1,17.6,34.1,41.2
544,Mojave Unified (Kern),15-63677-0000000,redacted,redacted,5.6,redacted,11.1,redacted,9.3,20.2,11.3,11.1,11.2,2.3,8.9,22.1,66.7
545,Mono County Office of Education (Mono),26-10264-0000000,,,redacted,,redacted,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
546,Monroe Elementary (Fresno),10-62323-0000000,,redacted,redacted,,26.3,,,redacted,26.3,28.3,27.3,7.3,20,40.9,31.8
547,Monrovia Unified (Los Angeles),19-64790-0000000,redacted,78.9,27.9,59.6,32.8,redacted,51.7,64.2,43.5,40.5,42.1,19,23.1,27.3,30.6
548,Monson-Sultana Joint Union Elementary (Tulare),54-72009-0000000,,redacted,,,26.9,redacted,redacted,40,29.4,27.2,28.2,11,17.3,27.9,43.9
549,Montague Elementary (Siskiyou),47-70417-0000000,redacted,redacted,redacted,,17.7,redacted,redacted,23.1,16.7,29.6,23.5,6.9,16.7,32.4,44.1
550,Monte Rio Union Elementary (Sonoma),49-70813-0000000,,redacted,,,redacted,,redacted,48.6,32.4,55.6,40.4,19.2,21.2,32.7,26.9
551,Montebello Unified (Los Angeles),19-64808-0000000,17.7,66,17.1,48.9,19.3,redacted,54.3,32.5,20,21,20.5,6.4,14.1,28,51.5
552,Montecito Union Elementary (Santa Barbara),42-69252-0000000,redacted,redacted,redacted,,73.7,,redacted,83,80.5,82.2,81.5,58.5,23,15.7,2.8
553,Monterey County Office of Education (Monterey),27-10272-0000000,redacted,redacted,redacted,redacted,10.1,redacted,redacted,14.3,16.4,10.3,13.7,5,8.7,19.1,67.2
554,Monterey Peninsula Unified (Monterey),27-66092-0000000,17.7,39.7,16.9,40.1,20.2,26.1,31.9,40.1,25.2,26.3,25.7,8.2,17.6,29,45.3
555,Montgomery Elementary (Sonoma),49-70821-0000000,,,,redacted,redacted,,,50,61.5,redacted,52.6,15.8,36.8,36.8,10.5
556,Moorpark Unified (Ventura),56-73940-0000000,redacted,80.7,36.6,56.3,30.5,redacted,69.3,62,50.5,46.1,48.3,22.5,25.8,27.4,24.4
557,Moraga Elementary (Contra Costa),07-61747-0000000,redacted,92,53.9,100,65.2,,92.8,81.9,84.6,82.2,83.4,56.9,26.5,12.4,4.2
558,Moreland (Santa Clara),43-69575-0000000,33.3,88.7,45.2,73,32.8,41.7,70.3,72.4,63.9,60.7,62.3,40.3,22,20.8,16.8
559,Moreno Valley Unified (Riverside),33-67124-0000000,26.7,40.3,12.5,55.1,19.5,25,25,32.4,20.8,20.4,20.6,6.2,14.4,29.3,50.1
560,Morgan Hill Unified (Santa Clara),43-69583-0000000,31.8,73.6,39.2,64.1,23.3,36.8,49.1,56.8,37.8,42,39.9,18.2,21.7,26.6,33.5
561,Morongo Unified (San Bernardino),36-67777-0000000,28.6,55.4,18.5,41.7,22.8,31.6,25.8,32.2,28,28.6,28.3,10,18.3,29.9,41.9
562,Mother Lode Union Elementary (El Dorado),09-61929-0000000,14.3,,redacted,redacted,32.9,redacted,20.8,44.7,37.6,39.8,38.7,14.1,24.5,34.4,27
563,Mount Pleasant Elementary (Santa Clara),43-69617-0000000,redacted,62.6,32.3,46.9,19.4,42.9,33.3,51,28.3,28.2,28.3,11.4,16.9,29.4,42.3
564,Mountain Elementary (Santa Cruz),44-69773-0000000,,,,,redacted,,redacted,75.9,72.7,74.2,73.4,40.6,32.8,18.8,7.8
565,Mountain Empire Unified (San Diego),37-68213-0000000,9.5,redacted,0,redacted,14.5,redacted,16.1,32.6,21.5,18.7,20.3,5.3,15,26.8,52.9
566,Mountain House Elementary (Alameda),01-61218-0000000,redacted,,,,redacted,redacted,,redacted,redacted,redacted,8.3,0,8.3,16.7,75
567,Mountain Union Elementary (Shasta),45-73700-0000000,redacted,,,,redacted,,redacted,34.8,35.7,27.3,30.6,13.9,16.7,38.9,30.6
568,Mountain Valley Unified (Trinity),53-75028-0000000,redacted,32,,,23.5,,25,41.9,33.8,37.3,35.6,15.8,19.9,35.6,28.8
569,Mountain View Elementary (Los Angeles),19-64816-0000000,,64.2,redacted,redacted,21,redacted,,redacted,23.6,23.6,23.6,8.3,15.3,29.1,47.3
570,Mountain View Elementary (San Bernardino),36-67785-0000000,redacted,61.3,14.5,50,26.2,redacted,45.5,43.9,29,30.1,29.5,8.9,20.6,34.2,36.3
571,Mountain View Whisman (Santa Clara),43-69591-0000000,redacted,85.4,42.9,60,35.8,42.1,80.4,85,62.4,61.5,62,42.6,19.4,19.6,18.4
572,Mountain View-Los Altos Union High (Santa Clara),43-69609-0000000,redacted,88.5,36.4,56.7,34.5,redacted,73.3,78.3,65.4,68.9,67,43.6,23.4,13,20
573,Mt. Baldy Joint Elementary (San Bernardino),36-67793-0000000,,redacted,redacted,,60.9,,redacted,54.6,57.9,56,57.1,36.5,20.6,27,15.9
574,Mt. Diablo Unified (Contra Costa),07-61754-0000000,31.8,60.9,16.9,52.7,20.7,24.2,53.9,55,39,38.2,38.6,17.9,20.7,26,35.5
575,Mt. Shasta Union Elementary (Siskiyou),47-70425-0000000,redacted,redacted,redacted,redacted,31.4,redacted,27.3,47.1,43,43.2,43.1,15.7,27.4,27.9,29
576,Mulberry Elementary (Imperial),13-63206-0000000,,,redacted,redacted,31.3,,redacted,47.6,34.8,39.5,37.7,8.2,29.5,36.1,26.2
577,Mupu Elementary (Ventura),56-72504-0000000,,,,,21.9,,redacted,69,30.8,40,36.2,22.3,13.8,37.2,26.6
578,Muroc Joint Unified (Kern),15-63685-0000000,redacted,redacted,26.4,43.8,25.7,redacted,38.7,39.5,35.4,33.3,34.4,11.9,22.5,27.9,37.7
579,Murrieta Valley Unified (Riverside),33-75200-0000000,54.8,64.5,29.6,60.4,38,36,47.6,53.1,47.2,46,46.6,20.8,25.8,29.8,23.6
580,Napa County Office of Education (Napa),28-10280-0000000,,,redacted,redacted,0,,redacted,redacted,0,0,0,0,0,5.1,94.9
581,Napa Valley Unified (Napa),28-66266-0000000,52,64.5,18.5,58.3,21.2,21.4,51.1,46.5,33.4,33,33.2,13.3,19.9,27.6,39.2
582,National Elementary (San Diego),37-68221-0000000,redacted,54.3,22,52.2,27.5,24,53.6,46.3,32.6,29.6,31.1,10.7,20.3,34.3,34.7
583,Natomas Unified (Sacramento),34-75283-0000000,29.2,51.6,14.4,47.6,23.9,23.4,34.9,47.9,32.9,33.2,33,13.4,19.7,28.3,38.6
584,Needles Unified (San Bernardino),36-67801-0000000,16.3,redacted,redacted,redacted,17.4,,31.3,23.1,20.3,19.8,20.1,6.2,13.9,28.1,51.8
585,Nevada City Elementary (Nevada),29-66340-0000000,redacted,redacted,redacted,redacted,39.1,redacted,35.7,41.9,39.9,40.6,40.3,16.7,23.6,32.5,27.3
586,Nevada County Office of Education (Nevada),29-10298-0000000,redacted,54.6,redacted,redacted,19.6,redacted,38.5,41.1,39.4,38.4,38.9,15.2,23.7,28.8,32.4
587,Nevada Joint Union High (Nevada),29-66357-0000000,redacted,redacted,redacted,redacted,27.3,,50,39.3,34.4,44.3,39,16.6,22.4,26.2,34.8
588,New Haven Unified (Alameda),01-61242-0000000,26.7,60.3,17.9,49.1,22.7,32.2,49.6,45.3,39.3,39.4,39.4,17.9,21.4,27.5,33.1
589,New Hope Elementary (San Joaquin),39-68619-0000000,,redacted,redacted,redacted,16.4,,redacted,redacted,21.4,14.9,17.9,4.9,13,31.7,50.4
590,New Jerusalem Elementary (San Joaquin),39-68627-0000000,redacted,22.2,4.9,redacted,10.7,redacted,2.8,18,13.2,14.3,13.8,4.7,9.1,28.3,58
591,Newark Unified (Alameda),01-61234-0000000,redacted,61.4,22.7,52.7,26,37.7,47.9,47.9,36.7,36.7,36.7,15.7,21,28.3,35
592,Newcastle Elementary (Placer),31-66852-0000000,redacted,redacted,redacted,redacted,39.6,,62.5,52,54.1,48.9,51.7,22.3,29.4,32.5,15.8
593,Newhall (Los Angeles),19-64832-0000000,61.5,92.6,51,77.8,50.6,redacted,80.2,78.7,65.7,66.6,66.2,41.3,24.8,20.7,13.1
594,Newman-Crows Landing Unified (Stanislaus),50-73601-0000000,redacted,redacted,16.7,redacted,20.6,redacted,31.7,36.6,23.6,24.1,23.9,5.9,18,30.8,45.3
595,Newport-Mesa Unified (Orange),30-66597-0000000,33.3,78.6,36,65,29.2,40,67.2,67,51.9,47.9,50,25.3,24.7,25.2,24.8
596,Nicasio (Marin),21-65409-0000000,,redacted,,,redacted,,,52.4,46.7,56.3,51.6,22.6,29,35.5,12.9
597,Norris Elementary (Kern),15-63693-0000000,30.3,76.8,37.5,71.4,43.7,redacted,62.8,52.2,52.4,49.4,50.9,23.8,27.1,28.3,20.7
598,North County Joint Union Elementary (San Benito),35-67504-0000000,,,redacted,,41.2,,redacted,59.2,49,49.4,49.2,19,30.2,28.3,22.5
599,North Cow Creek Elementary (Shasta),45-70078-0000000,redacted,redacted,redacted,,46.2,,66.7,49.6,47.3,53.9,50.3,23.4,26.9,31.6,18.1
600,North Monterey County Unified (Monterey),27-73825-0000000,redacted,45.5,redacted,47.4,15,redacted,45.5,26.8,17.2,16.7,16.9,4.9,12,29.2,53.9
601,Northern Humboldt Union High (Humboldt),12-62687-0000000,6.3,46.2,redacted,,5.3,redacted,31.4,43.1,35,35.8,35.4,16.9,18.5,21,43.6
602,Norwalk-La Mirada Unified (Los Angeles),19-64840-0000000,33.3,64.5,19.4,54.9,27.1,26.8,49.6,39.7,31,30.1,30.6,11.3,19.2,29.4,40
603,Novato Unified (Marin),21-65417-0000000,31.8,70.7,17,52.6,24.5,redacted,62.5,61.3,46.4,46.4,46.4,22.5,23.9,26.3,27.3
604,Nuestro Elementary (Sutter),51-71423-0000000,,70.6,,,38.9,,redacted,58.7,55.3,58,56.8,29.6,27.3,31.8,11.4
605,Nuview Union (Riverside),33-67157-0000000,redacted,redacted,35.7,redacted,25.7,redacted,31.3,37.6,29.2,27.8,28.5,8.6,19.9,32,39.5
606,Oak Grove Elementary (Santa Clara),43-69625-0000000,34.8,71.3,27.5,53.9,24.8,26.4,57.9,53.8,42.5,42.8,42.6,21.3,21.4,26.8,30.5
607,Oak Grove Union Elementary (Sonoma),49-70839-0000000,redacted,81.3,redacted,redacted,40.4,redacted,58.8,57.3,56,50.4,53.3,20.7,32.6,32.8,13.9
608,Oak Park Unified (Ventura),56-73874-0000000,redacted,88.8,55.9,70,54.8,redacted,78.3,67.9,74.3,69.3,71.8,42.8,29,19.8,8.4
609,Oak Run Elementary (Shasta),45-70086-0000000,redacted,,,,,,redacted,11.1,redacted,13,12.5,6.3,6.3,37.5,50
610,Oak Valley Union Elementary (Tulare),54-72017-0000000,redacted,redacted,redacted,redacted,31.3,,,51.4,38.4,32.8,35.6,12.8,22.8,30.6,33.9
611,Oak View Union Elementary (San Joaquin),39-68635-0000000,redacted,redacted,,redacted,35.7,redacted,50,58.6,51.4,45.1,48.4,15.1,33.3,35.5,16.1
612,Oakdale Joint Unified (Stanislaus),50-75564-0000000,42.3,50,27.3,57.1,23.3,redacted,36.1,38.5,35.2,30.6,33.1,10.7,22.3,32.3,34.6
613,Oakland Unified (Alameda),01-61259-0000000,11.1,47.9,10.8,31.4,15.9,19.5,51.8,62.3,25.7,25.4,25.5,11.3,14.3,23.2,51.3
614,Oakley Union Elementary (Contra Costa),07-61762-0000000,17.7,43.6,14.5,63.3,20.7,30,27.5,35.4,28.8,25.9,27.4,8,19.4,32.3,40.4
615,Ocean View (Orange),30-66613-0000000,41.7,83,54.2,69.3,37.5,38.9,65.9,64.4,57.2,56.6,56.9,31.2,25.7,24.9,18.2
616,Ocean View (Ventura),56-72512-0000000,redacted,redacted,25,31.9,14.9,redacted,27.3,33.3,17.5,15.6,16.6,3.4,13.1,27.9,55.6
617,Oceanside Unified (San Diego),37-73569-0000000,30,69.4,28.7,49.6,26.1,36.1,46.9,52.5,35,35.8,35.4,12.6,22.8,29.7,35
618,Ojai Unified (Ventura),56-72520-0000000,redacted,76.5,25,redacted,20.3,redacted,34.2,42.9,35.7,33.6,34.7,13.6,21,29,36.3
619,Old Adobe Union (Sonoma),49-70847-0000000,redacted,47.1,25,redacted,27.3,redacted,40,59,44.5,41,42.8,19.1,23.7,29.4,27.8
620,Ontario-Montclair (San Bernardino),36-67819-0000000,31.9,67.6,21.9,64.6,25.8,32.6,40.6,38.3,27.3,27.6,27.4,9.2,18.2,29.9,42.7
621,Orange Center (Fresno),10-62331-0000000,,18.4,redacted,,22.1,,redacted,redacted,25,17.7,21.3,2.1,19.2,31.9,46.8
622,Orange County Department of Education (Orange),30-10306-0000000,redacted,41.6,3,redacted,4.5,redacted,24.3,25.8,9.7,16.3,12.3,4.7,7.5,10.6,77.1
623,Orange Unified (Orange),30-66621-0000000,44.8,78.3,31.5,65.6,25.7,36.1,55.7,55.8,42.4,40.9,41.6,19.8,21.8,27.7,30.7
624,Orchard Elementary (Santa Clara),43-69633-0000000,redacted,63.4,45,61.4,24.4,57.1,60,55.9,42.9,48.8,45.8,21.7,24.1,24.8,29.4
625,Orcutt Union Elementary (Santa Barbara),42-69260-0000000,34.8,69.1,37,43.9,34.9,redacted,47.2,50.2,42.7,42.7,42.7,17,25.7,31.6,25.7
626,Orick Elementary (Humboldt),12-62968-0000000,,,,,,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
627,Orland Joint Unified (Glenn),11-75481-0000000,redacted,3.6,redacted,redacted,12.2,,redacted,20.7,14.6,15.3,14.9,2.8,12.1,30.8,54.3
628,Oro Grande Elementary (San Bernardino),36-67827-0000000,21.1,redacted,11.7,redacted,18.8,redacted,23.3,31.5,22.1,20.8,21.5,3.9,17.6,29.7,48.8
629,Oroville City Elementary (Butte),04-61507-0000000,11.4,18.9,3.7,redacted,22.8,redacted,18.1,22.1,20.5,20.2,20.4,5.9,14.5,30.9,48.7
630,Oroville Union High (Butte),04-61515-0000000,16,16.9,6.3,redacted,14.7,,18.2,25.2,18.2,22.5,20.3,3.3,16.9,24,55.7
631,Outside Creek Elementary (Tulare),54-72025-0000000,,redacted,,,8.8,,,26.3,7.7,18.4,13,3.9,9.1,40.3,46.8
632,Owens Valley Unified (Inyo),14-63297-0000000,redacted,,,,17.4,,,28,25,17.2,21.1,7,14,31.6,47.4
633,Oxnard (Ventura),56-72538-0000000,13.3,44.9,11.8,42.9,11.9,42.1,29,26.5,13.6,12.7,13.2,3.2,10,26.8,60.1
634,Oxnard Union High (Ventura),56-72546-0000000,redacted,69.3,24.6,51.4,17.4,26.7,46.3,46.9,22.5,25.4,23.9,7.9,16,24.1,52
635,Pacheco Union Elementary (Shasta),45-70094-0000000,36.4,redacted,redacted,redacted,24.6,,27.3,31.5,29.7,32.2,30.9,9.7,21.2,34.4,34.7
636,Pacific Elementary (Santa Cruz),44-69781-0000000,,redacted,,,33.3,,redacted,58.8,53.3,57.1,54.9,23.5,31.4,27.5,17.7
637,Pacific Grove Unified (Monterey),27-66134-0000000,redacted,72.1,21.4,60,44.2,63.6,56.2,67.7,62,62.2,62,34.9,27.2,21.7,16.2
638,Pacific Union Elementary (Humboldt),12-62976-0000000,35.7,redacted,redacted,,27.2,,38.9,54.4,48.3,41.5,44.9,16,28.9,30.6,24.5
639,Pacific Union Elementary (Fresno),10-62356-0000000,redacted,58.3,redacted,,18.9,,redacted,34.6,22.8,20.9,21.9,6,15.9,29.5,48.6
640,Pacifica (San Mateo),41-68932-0000000,redacted,70.8,20.7,51.8,38.8,4.4,56.4,63,53,55.1,54,26.4,27.7,26.8,19.2
641,Pajaro Valley Unified (Santa Cruz),44-69799-0000000,21.1,50.5,36.5,44.9,15,33.3,25,51,21.8,20.5,21.2,7.5,13.7,26.2,52.6
642,Palermo Union Elementary (Butte),04-61523-0000000,15.2,17.2,redacted,redacted,12,,16.4,19,15.1,16.4,15.7,3.6,12.1,31.1,53.2
643,Palm Springs Unified (Riverside),33-67173-0000000,16.4,61.8,15,58.1,22.7,14.3,29,41.5,25,26.4,25.7,9.6,16,26.8,47.5
644,Palmdale Elementary (Los Angeles),19-64857-0000000,25.3,56,9.7,60.6,20,43.8,24.4,31.7,20.1,19.4,19.8,6.1,13.7,26.7,53.6
645,Palo Verde Unified (Riverside),33-67181-0000000,redacted,redacted,10.4,redacted,15,redacted,16.7,26,19.5,15.2,17.5,4.8,12.7,24.1,58.5
646,Palo Verde Union Elementary (Tulare),54-72033-0000000,redacted,,,,33.8,,,36.6,35,33.5,34.3,9.8,24.4,28.7,37.1
647,Palos Verdes Peninsula Unified (Los Angeles),19-64865-0000000,33.3,87,46.5,72.3,50.5,redacted,75.6,69.9,72.7,72.1,72.4,46.8,25.7,18,9.6
648,Panama-Buena Vista Union (Kern),15-63362-0000000,25.6,59,16.5,58.1,26,38.8,46.2,44.3,32.2,32.7,32.4,12.8,19.7,30.3,37.3
649,Panoche Elementary (San Benito),35-67520-0000000,,,,,redacted,,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted
650,Paradise Elementary (Stanislaus),50-71209-0000000,,,,,41,,,redacted,39.4,50.7,45.3,24.1,21.2,29.9,24.8
651,Paradise Unified (Butte),04-61531-0000000,16.1,37.5,redacted,redacted,21.8,redacted,22.9,27.7,27.3,25.2,26.2,8.2,18.1,30.9,42.9
652,Paramount Unified (Los Angeles),19-64873-0000000,redacted,44.8,15,41.4,28.7,22.8,31.4,35.5,27.4,28.5,27.9,10,17.9,29.2,42.9
653,Parlier Unified (Fresno),10-62364-0000000,redacted,redacted,,redacted,14.6,,,9.1,14.3,15,14.6,3.2,11.5,22.9,62.4
654,Pasadena Unified (Los Angeles),19-64881-0000000,36.4,79.4,20.8,56.4,22.8,20,66.7,58.3,33.4,33,33.2,15.6,17.6,24.7,42.2
655,Paso Robles Joint Unified (San Luis Obispo),40-75457-0000000,38.5,70.8,19.6,66.7,24.5,redacted,43.4,49.4,35.6,34.8,35.2,13.3,21.9,28.2,36.6
656,Patterson Joint Unified (Stanislaus),50-71217-0000000,18.2,45.5,23.6,37.3,20.4,25.5,36.3,36.3,24.2,23.5,23.8,6.8,17.1,30,46.2
657,Peninsula Union (Humboldt),12-62984-0000000,,,,,redacted,,,12.5,18.2,redacted,11.1,0,11.1,33.3,55.6
658,Penn Valley Union Elementary (Nevada),29-76877-0000000,redacted,redacted,redacted,,41.5,,50,39,40,40,40,13.3,26.8,30.1,29.9
659,Perris Elementary (Riverside),33-67199-0000000,redacted,61.5,12.7,redacted,22.7,redacted,redacted,37.6,23.5,21.6,22.6,6.7,15.9,28.6,48.9
660,Perris Union High (Riverside),33-67207-0000000,redacted,29.1,11.3,45.6,12.7,0,24.3,24.1,14.7,15.2,14.9,3.3,11.6,26.4,58.7
661,Petaluma City Elementary (Sonoma),49-70854-0000000,redacted,80,23.5,redacted,28.8,redacted,54.8,60,49,49.7,49.3,23.4,25.9,27.7,22.9
662,Petaluma City Elementary/Joint Union High (Sonoma),49-40246-0000000,,,,,,,,,,,,,,,
663,Petaluma Joint Union High (Sonoma),49-70862-0000000,41.2,69.7,19.4,58.3,27.8,63.6,54.6,54.4,45.9,46,45.9,19.4,26.6,28.7,25.4
664,Pierce Joint Unified (Colusa),06-61614-0000000,,redacted,8.3,redacted,22.7,redacted,redacted,47.2,24.8,31.9,28,8.6,19.4,34.2,37.9
